"iso_a3","country_name","centroid_lon","centroid_lat","study_count","gdp_year","gdp_current_usd"
"GBR","United Kingdom",-2.75814206017949,54.011649752434,82,2024,3686033044482.13
"ATA","Antarctica",82.0706689718262,-84.9385929486308,75,NA,NA
"SAU","Saudi Arabia",44.6631748161087,24.086557980863,71,2024,1239804533333.33
"FRA","France",-6.67614110293884,42.9551401793354,69,2024,3160442622465.08
"TWN","Taiwan",120.951465589739,23.7502041987188,67,NA,NA
"NOR","Norway",12.7458966089358,66.3603229362803,65,2024,483592648313.301
"FIN","Finland",26.194973104159,64.2551359946432,63,2024,298696961297.656
"CHL","Chile",-71.0561908529319,-36.0762464816833,61,2024,330267137371.592
"NLD","Netherlands",4.99154722169435,52.2269208415578,54,2024,1214927698572.66
"RUS","Russia",95.78893857594,66.033582596777,52,2024,2173835806671.66
"CHE","Switzerland",8.20628200253268,46.7988964222167,51,2024,936564198048.516
"PAN","Panama",-80.1187762360439,8.52023299729671,47,2024,86523959131.7472
"PRT","Portugal",-8.52813020383653,39.606210302125,47,2024,313271185085.102
"COL","Colombia",-73.0770322684778,3.90348006164073,45,2024,418818154879.271
"TUR","Turkey",35.1728012216458,39.1370133081839,45,2024,1359123768774.12
"SWE","Sweden",16.2669501808867,62.3836560724311,38,2024,603715224265.798
"DZA","Algeria",2.63118841954702,28.055993421913,37,2024,269322281664.773
"BGD","Bangladesh",90.2471041168013,23.8606661358576,35,2024,450119432068.852
"NGA","Nigeria",8.07958685332263,9.59094557000066,35,2024,252261880141.151
"LKA","Sri Lanka",80.7016320198589,7.61103817958453,35,2024,98963185509.6499
"CMR","Cameroon",12.733943970586,5.68116800254081,34,2024,53296694320.2057
"ECU","Ecuador",-78.7492983168795,-1.42410985523635,34,2024,124676074700
"MAR","Morocco",-8.7278477589121,29.7668591307467,34,2024,160610994054.734
"CRI","Costa Rica",-84.1898695369301,9.97613127767007,31,2024,95350423176.5962
"MNG","Mongolia",103.123972155588,46.9562038928416,30,2024,23794540024.5132
"KEN","Kenya",37.7962282730763,0.599448827120255,28,2024,120339557905.932
"PRY","Paraguay",-58.443433000362,-23.2089093473311,28,2024,44458118397.4445
"AUT","Austria",14.1104300681977,47.592293441981,27,2024,534790720466.822
"CZE","Czech Rep.",15.3194407108538,49.7379966835855,27,2024,347034062928.479
"PER","Peru",-74.4207415923271,-9.10714962593639,27,2024,289221969062.941
"VNM","Vietnam",106.346507813442,16.5442974835414,27,2024,476388230307.175
"TUN","Tunisia",9.55612881022213,34.0889554756156,26,2024,51332285656.5422
"HUN","Hungary",19.37926775879,47.1659125090957,23,2024,222722738925.641
"ISR","Israel",34.9999509555773,31.4512550871465,23,2024,540379921261.681
"DNK","Denmark",10.0422117794558,55.9749821619331,21,2024,424524722037.047
"ETH","Ethiopia",39.6097922793134,8.61440064916273,21,2024,149740297952.986
"PHL","Philippines",122.919280095055,11.7293432285371,20,2024,461617509782.355
"UKR","Ukraine",31.4626755070525,49.0218337180698,20,2024,190741262414.705
"OMN","Oman",56.0621306388693,20.5857751251697,18,2024,107137198769.386
"GRC","Greece",22.9642854512933,39.0479595976467,17,2024,256238371778.118
"SVN","Slovenia",14.8005232442775,46.1158904650478,17,2024,72972015197.3859
"MLI","Mali",-3.59047300380448,17.3151390059405,16,2024,26794747239.8805
"IRQ","Iraq",43.7736761009852,33.0096663987366,15,2024,279641257615.385
"GEO","Georgia",43.5242560197085,42.1729419874369,14,2024,34189423544.9955
"SRB","Kosovo",20.8726030090416,42.5701992546092,14,2024,90097765959.1114
"SRB","Serbia",20.8066062926809,44.2113198332037,14,2024,90097765959.1114
"UZB","Uzbekistan",63.3030925540232,41.7754007507999,14,2024,114965293466.611
"VEN","Venezuela",-66.1705444152375,7.12227408159656,14,2024,119802963257.783
"BEL","Belgium",4.64783125187333,50.6391310051005,13,2024,671370081636.406
"GHA","Ghana",-1.21698963069079,7.94769971488172,12,2024,82308110386.4641
"HKG","Hong Kong",114.113750106644,22.3982609095881,11,2024,406863396487.342
"PRI","Puerto Rico",-66.473068197259,18.2285799428627,11,2024,126029527033.705
"UGA","Uganda",32.3686653753119,1.27423154246739,11,2024,53911907086.1525
"HRV","Croatia",16.4010529479644,45.0758927659601,10,2024,92983810328.9088
"EST","Estonia",25.545032877453,58.6729024299068,10,2024,43130419829.35
"NPL","Nepal",83.9468444279168,28.2580425125365,10,2024,42914268286.7109
"TZA","Tanzania",34.801810647267,-6.26824779739325,10,2024,78844405385.2195
"URY","Uruguay",-56.0252057322354,-32.79134091527,10,2024,80961511073.5797
"PNG","Papua New Guinea",145.200496709558,-6.46858138616668,9,2024,31800428265.5246
"SVK","Slovakia",19.4689717853406,48.7112808146637,9,2024,140934076532.375
"BOL","Bolivia",-64.6984386207499,-16.681984236519,8,2024,54881327452.9667
"CUB","Cuba",-78.9870541271383,21.6379353401774,8,2020,1.07352e+11
"LTU","Lithuania",23.8970998789754,55.3237700608105,8,2024,84869215513.3648
"SDN","Sudan",29.9074652465698,15.9679661132356,8,2024,49672435513.1126
"BFA","Burkina Faso",-1.76113831482965,12.2707262425414,7,2024,23124729853.0218
"ARE","United Arab Emirates",54.2926697922684,23.9053203377423,7,2024,552324846834.581
"GIN","Guinea",-10.9342459987654,10.4373187593583,6,2024,25008678293.4084
"MNE","Montenegro",19.2386306670085,42.7880033068397,6,2024,8270016670.86774
"SGS","S. Geo. and S. Sandw. Is.",-36.4874248269023,-54.4633925402911,6,NA,NA
"SYR","Syria",38.487839822871,35.0190479430799,6,2022,23622827079.5047
"BGR","Bulgaria",25.2091326182522,42.7712410532641,5,2024,113343355779.985
"HND","Honduras",-86.6176147831547,14.8290802772322,5,2024,37093565854.0437
"IRL","Ireland",-8.14571834250354,53.1625330783272,5,2024,609157459747.205
"JEY","Jersey",-2.12689068199444,49.2183874346051,5,NA,NA
"JOR","Jordan",36.7576835960932,31.2387026477013,5,2024,53352289577.4648
"KAZ","Kazakhstan",67.245502623578,48.3616709141513,5,2024,291480274648.826
"MDG","Madagascar",46.7428900556254,-19.3164837005686,5,2024,17420501490.1231
"MMR","Myanmar",96.4947556002813,21.1129068908602,5,2024,74068349523.8095
"NAM","Namibia",17.1950199598704,-22.0696900150308,5,2024,13372354511.716
"ROU","Romania",24.9831818039956,45.8484139837285,5,2024,382564217988.866
"SGP","Singapore",103.817255828195,1.35876224689065,5,2024,547386645891.847
"BLR","Belarus",28.0149551024805,53.5195205530221,4,2024,75961865471.9129
"COG","Congo",15.2211423451148,-0.836992405518087,4,2024,15719986076.6464
"PYF","Fr. Polynesia",-144.785420562981,-14.7131078115589,4,2024,6323716355.05009
"GRL","Greenland",-41.8136722745856,73.0812153467454,4,2023,3326543974.39193
"GUY","Guyana",-58.9799209901224,4.78964291142976,4,2024,24662709832.1343
"ISL","Iceland",-18.5800336627103,64.9978841290345,4,2024,33255181468.9382
"LBY","Libya",18.0667932088379,27.016716394901,4,2024,48487151215.345
"MLT","Malta",14.4053767628788,35.9214721473637,4,2024,24971574502.4475
"ZWE","Zimbabwe",29.8510133848713,-18.9970468184375,4,2024,41539411516.4448
"AZE","Azerbaijan",47.5478416573093,40.2866618407123,3,2024,74315882352.9412
"BMU","Bermuda",-64.7546002002701,32.3136780686167,3,2024,9233600000
"BRN","Brunei",114.721966207324,4.51968373105294,3,2024,15340808592.48
"LUX","Luxembourg",6.07215816344379,49.7667823865565,3,2024,93279851863.4062
"MUS","Mauritius",57.5712647063556,-20.2776195923663,3,2024,14937861786.17
"MOZ","Mozambique",35.6027277377491,-17.1958575415341,3,2024,22745341305.0622
"NCL","New Caledonia",165.679742551398,-21.3008860612366,3,2024,8548919387.12607
"AFG","Afghanistan",65.9259998083739,33.8187564243444,2,2023,17152234636.8715
