"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/taxa/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=Plantae&variant=all&show=class"
"Access Time","Thu 2025-06-26 21:48:33 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","variant","all"
"","show","class"
"Elapsed Time","2.14"
"Records Found","32837"
"Records Returned","32837"
"Records:"
"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs","phylum","class","order","family","genus","type_taxon"
"488668","488668","txn","","species","Scabiosa argentea","","488668","species","Scabiosa argentea","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488673","488673","txn","","species","Scabiosa papposa","","488673","species","Scabiosa papposa","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488669","488669","txn","","species","Scabiosa africana","","488669","species","Scabiosa africana","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488671","488671","txn","","species","Scabiosa pterocephala","","488671","species","Scabiosa pterocephala","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488658","488658","txn","","species","Scabiosa leucantha","","488658","species","Scabiosa leucantha","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488665","488665","txn","","species","Scabiosa columbaria","","488665","species","Scabiosa columbaria","488655","8628","extant","1","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488672","488672","txn","","species","Scabiosa ochroleuca","","488672","species","Scabiosa ochroleuca","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488659","488659","txn","","species","Scabiosa succisa","","488659","species","Scabiosa succisa","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488661","488661","txn","","species","Scabiosa integrifolia","","488661","species","Scabiosa integrifolia","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488663","488663","txn","","species","Scabiosa arvensis","","488663","species","Scabiosa arvensis","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488656","488656","txn","","species","Scabiosa alpina","","488656","species","Scabiosa alpina","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
"488664","488664","txn","","species","Scabiosa triandra","","488664","species","Scabiosa triandra","488655","8628","extant","0","NO_PHYLUM_SPECIFIED","NO_CLASS_SPECIFIED","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Scabiosa",""
