id,plant_parts_detected,parts_count,parts_normalized
15793,NA,0,NA
15794,root,1,root
15795,root; cell wall,2,root; cell wall
15796,stem; root,2,stem; root
15797,leaf,1,leaf
15798,root,1,root
15799,style,1,style
15800,NA,0,NA
15802,NA,0,NA
15803,fruit; flower,2,fruit; flower
15804,seed,1,seed
15805,leaf,1,leaf
15806,leaf,1,leaf
15808,NA,0,NA
15809,seed,1,seed
15810,root; mycorrhizal; root tip,3,root; mycorrhizal; root tip
15811,leaf,1,leaf
15812,seed; root; leaf; seed coat,4,seed; root; leaf; seed coat
15813,flower; stem,2,flower; stem
15814,leaf,1,leaf
15816,root,1,root
15817,NA,0,NA
15818,NA,0,NA
15820,leaf; petiole; branch; fruit,4,leaf; petiole; branch; fruit
15821,root,1,root
15822,leaf,1,leaf
15823,shoot; root,2,shoot; root
15824,mycorrhizal; inflorescence,2,mycorrhizal; inflorescence
15826,NA,0,NA
15827,root; shoot,2,root; shoot
15828,leaf,1,leaf
15829,mycorrhizal; fruit,2,mycorrhizal; fruit
15830,root; stem,2,root; stem
15831,NA,0,NA
15832,NA,0,NA
15834,root; stem,2,root; stem
15835,root; stem; leaf,3,root; stem; leaf
15836,leaf,1,leaf
15837,leaf,1,leaf
15838,cone; wood,2,cone; wood
15839,root,1,root
15840,seed,1,seed
15841,rhizome; root,2,rhizome; root
15842,root; leaf,2,root; leaf
15843,style,1,style
15844,leaf,1,leaf
15845,NA,0,NA
15847,NA,0,NA
15848,leaf; stoma,2,leaf; stoma
15849,seed,1,seed
15850,root; mycorrhizal; epidermis,3,root; mycorrhizal; epidermis
15851,scale; stem; root; ground tissue; ground tissues,5,scale; stem; root; ground tissue; ground tissues
15852,crown,1,crown
15853,root; stem; leaf; flower; fruit,5,root; stem; leaf; flower; fruit
15854,NA,0,NA
15855,root; intercellular space; lateral root; hair; root hair,5,root; intercellular space; lateral root; hair; root hair
15856,leaf,1,leaf
15857,leaf; panicle; sheath; cell wall,4,leaf; panicle; sheath; cell wall
15858,root; cortex; stele,3,root; cortex; stele
15859,NA,0,NA
15860,leaf,1,leaf
15861,bud,1,bud
15862,root; stem; leaf,3,root; stem; leaf
15864,NA,0,NA
15865,NA,0,NA
15866,branch; leaf; root; bark,4,branch; leaf; root; bark
15867,NA,0,NA
15868,root,1,root
15869,NA,0,NA
15870,stem; leaf; root; vascular tissue; vascular tissues,5,stem; leaf; root; vascular tissue; vascular tissues
15872,seed; leaf,2,seed; leaf
15874,ray,1,ray
15875,NA,0,NA
15876,root; stem; leaf,3,root; stem; leaf
15877,NA,0,NA
15878,root; leaf,2,root; leaf
15880,branch; phloem; xylem; stem; fruit,5,branch; phloem; xylem; stem; fruit
15881,trunk; wood; canker,3,trunk; wood; canker
15882,seed; root,2,seed; root
15883,leaflet; lesion; ground tissue; ground tissues,4,leaflet; lesion; ground tissue; ground tissues
15884,NA,0,NA
15885,ray,1,ray
15886,NA,0,NA
15887,leaf,1,leaf
15888,NA,0,NA
15889,NA,0,NA
15890,root; leaf,2,root; leaf
15891,seed,1,seed
15892,seed,1,seed
15893,NA,0,NA
15894,root,1,root
15895,seed; root; shoot; leaf; stem,5,seed; root; shoot; leaf; stem
15896,mycorrhizal; seed; flower,3,mycorrhizal; seed; flower
15897,NA,0,NA
15898,shoot; root; inflorescence,3,shoot; root; inflorescence
15899,NA,0,NA
15900,leaf; pod,2,leaf; pod
15901,NA,0,NA
15902,leaf,1,leaf
15903,ray,1,ray
15904,leaf,1,leaf
15905,root; scale,2,root; scale
15906,root; stem,2,root; stem
15907,NA,0,NA
15908,leaf,1,leaf
15909,proliferation; tumor; leaf,3,proliferation; tumor; leaf
15910,root,1,root
15911,seed; vein,2,seed; vein
15912,leaf,1,leaf
15913,NA,0,NA
15914,leaf,1,leaf
15915,leaf; root,2,leaf; root
15916,seed; root,2,seed; root
15917,seed; mycorrhizal; root; embryo,4,seed; mycorrhizal; root; embryo
15918,root,1,root
15919,leaf,1,leaf
15920,leaf,1,leaf
15921,leaf; rhizome; root,3,leaf; rhizome; root
15922,fruit,1,fruit
15923,root; leaf; seed,3,root; leaf; seed
15925,NA,0,NA
15926,NA,0,NA
15927,root; seed,2,root; seed
15928,NA,0,NA
15929,NA,0,NA
15930,mycorrhizal,1,mycorrhizal
15931,leaf,1,leaf
15932,leaf; seed; stem,3,leaf; seed; stem
15933,NA,0,NA
15934,mycorrhizal; root; leaf; stem,4,mycorrhizal; root; leaf; stem
15936,leaf,1,leaf
15937,root; mycorrhizal; wood,3,root; mycorrhizal; wood
15938,stem; leaf,2,stem; leaf
15939,NA,0,NA
15941,root; seed; shoot,3,root; seed; shoot
15942,root; seed; shoot,3,root; seed; shoot
15943,root; leaf,2,root; leaf
15944,leaf; petiole; stem,3,leaf; petiole; stem
15945,leaf; scale,2,leaf; scale
15946,seed; pod; embryo,3,seed; pod; embryo
15947,shoot,1,shoot
15948,seed,1,seed
15949,shoot,1,shoot
15950,root,1,root
15951,seed,1,seed
15952,stem,1,stem
15953,mycorrhizal,1,mycorrhizal
15954,NA,0,NA
15956,rhizome; stem; fruit; leaf,4,rhizome; stem; fruit; leaf
15957,NA,0,NA
15958,fruit; leaf; root,3,fruit; leaf; root
15959,seed,1,seed
15960,leaf,1,leaf
15961,NA,0,NA
15962,NA,0,NA
15963,proliferation,1,proliferation
15964,leaf,1,leaf
15965,leaf,1,leaf
15966,NA,0,NA
15967,NA,0,NA
15968,seed; root; shoot,3,seed; root; shoot
15969,seed,1,seed
15970,shoot; root; seed,3,shoot; root; seed
15971,NA,0,NA
15972,NA,0,NA
15973,root; stem; leaf,3,root; stem; leaf
15974,tuber; mycorrhizal; seed,3,tuber; mycorrhizal; seed
15975,fruit,1,fruit
15976,mycorrhizal; root,2,mycorrhizal; root
15977,NA,0,NA
15979,seed; stem; leaf,3,seed; stem; leaf
15981,NA,0,NA
15982,root; stem,2,root; stem
15983,seed; root,2,seed; root
15984,panicle; shoot,2,panicle; shoot
15985,trunk; wood,2,trunk; wood
15986,NA,0,NA
15987,fruit; cell wall,2,fruit; cell wall
15988,seed; root,2,seed; root
15989,leaf,1,leaf
15990,stem; leaf; root; shoot,4,stem; leaf; root; shoot
15991,root,1,root
15992,NA,0,NA
15993,seed,1,seed
15994,fruit; lesion,2,fruit; lesion
15995,leaf; pneumatophore; root,3,leaf; pneumatophore; root
15996,seed,1,seed
15997,leaf; style,2,leaf; style
15998,NA,0,NA
15999,fruit; pod,2,fruit; pod
16000,leaf; branch; root,3,leaf; branch; root
16001,leaf; proliferation,2,leaf; proliferation
16002,NA,0,NA
16003,NA,0,NA
16004,tumor,1,tumor
16005,seed,1,seed
16006,root,1,root
16007,fruit,1,fruit
16008,NA,0,NA
16010,NA,0,NA
16011,berry,1,berry
16013,leaf,1,leaf
16014,NA,0,NA
16015,rhizome,1,rhizome
16016,wood; foliage; root; leaf,4,wood; foliage; root; leaf
16017,root; leaf,2,root; leaf
16018,fiber; root; stem; leaf,4,fiber; root; stem; leaf
16020,seed; shoot; root; branch; pod,5,seed; shoot; root; branch; pod
16021,root,1,root
16022,root,1,root
16023,leaf,1,leaf
16024,leaf; branch,2,leaf; branch
16026,NA,0,NA
16027,leaf; tumor,2,leaf; tumor
16028,NA,0,NA
16029,seed; leaf; stem; branch,4,seed; leaf; stem; branch
16030,leaf; stem,2,leaf; stem
16031,leaf,1,leaf
16032,fruit; stem,2,fruit; stem
16034,leaf,1,leaf
16035,wood; scale; trunk,3,wood; scale; trunk
16036,root,1,root
16037,leaf; stem; root,3,leaf; stem; root
16038,branch,1,branch
16039,root,1,root
16040,seed,1,seed
16041,NA,0,NA
16042,NA,0,NA
16043,leaf,1,leaf
16044,NA,0,NA
16045,NA,0,NA
16046,leaf; twig,2,leaf; twig
16047,root,1,root
16048,leaf,1,leaf
16049,seed; root; bulb; leaf,4,seed; root; bulb; leaf
16050,root; shoot,2,root; shoot
16051,leaf; lesion,2,leaf; lesion
16052,NA,0,NA
16053,seed; shoot; leaf; bud,4,seed; shoot; leaf; bud
16054,leaf; ray; tumor,3,leaf; ray; tumor
