iso_a3,country_name,study_count,centroid_lat,centroid_lon,gdp_year,gdp_current_usd,gdp_log10
AFG,Afghanistan,2,33.8187564243444,65.9259998083739,2023,17152234636.8715,10.234320709057542
AZE,Azerbaijan,2,40.2866618407123,47.5478416573093,2024,74315882352.9412,10.871081638540256
ERI,Eritrea,2,15.3611244583121,38.8572739658584,2011,2065001626.01626,9.314920397963176
GRL,Greenland,2,73.0812153467454,-41.8136722745856,2023,3326543974.39193,9.521993268864145
ISL,Iceland,2,64.9978841290345,-18.5800336627103,2024,33255181468.938202,10.521859322061719
JAM,Jamaica,2,18.1574508770119,-77.3143958349437,2024,22014397089.7689,10.342706795897206
JEY,Jersey,2,49.2183874346051,-2.12689068199444,NA,NA,NA
JOR,Jordan,2,31.2387026477013,36.7576835960932,2024,53352289577.4648,10.727153061614707
LVA,Latvia,2,56.8595216467316,24.9204470200195,2024,43684254432.3609,10.640324927922917
LBN,Lebanon,2,33.9215988442913,35.8776957799568,2023,20078620356.9931,10.302733868237446
LUX,Luxembourg,2,49.7667823865565,6.07215816344379,2024,93279851863.4062,10.969787847717722
MMR,Myanmar,2,21.1129068908602,96.4947556002813,2024,74068349523.8095,10.86963266731005
QAT,Qatar,2,25.3048623619667,51.1846516738005,2024,219162637362.637,11.340766518013577
TLS,Timor-Leste,2,-8.8293216548526,125.845107820645,2024,1865608515.41321,9.270820515384091
YEM,Yemen,2,15.9172806811685,47.5677872476925,2018,21606160663.0318,10.334577601173088
ALB,Albania,1,41.1348736944403,20.0518459027132,2024,27046429296.6673,10.43210993712782
BRB,Barbados,1,13.1814498004285,-59.5597850951858,2024,7498050000,9.874948332144706
BEN,Benin,1,9.63561224093509,2.32661465004568,2024,21482643706.4249,10.332087725652393
BTN,Bhutan,1,27.4121377973,90.4021595998385,2023,3012896789.24928,9.478984254598265
BIH,Bosnia and Herz.,1,44.1714743326079,17.7748915741405,2024,29613572022.8993,10.47149079564564
BWA,Botswana,1,-22.1652447872488,23.8086129025041,2024,19402063512.9066,10.287847921920465
BDI,Burundi,1,-3.35921514928519,29.8752284293783,2024,3082433067.32634,9.488893654998044
KHM,Cambodia,1,12.7194949077631,104.905337576565,2024,46352647037.2406,10.666074540224674
TCD,Chad,1,15.2753594087916,18.6349974957478,2024,19518819751.283,10.290453553545747
CIV,Côte d'Ivoire,1,7.62587837014599,-5.56910294234613,2024,87113179149.284,10.940083863375412
COD,Dem. Rep. Congo,1,-2.86548803879884,23.6377472422809,2024,70962185790.7094,10.851026984250723
DMA,Dominica,1,15.4394350108441,-61.3577005414183,2024,688881481.481481,8.838144510200683
DOM,Dominican Rep.,1,18.8951155518329,-70.5052413454715,2024,124282245638.568,11.094409091860273
GTM,Guatemala,1,15.6901195659811,-90.3672121144358,2024,113199581158.203,11.053844819952802
GNB,Guinea-Bissau,1,12.0477507940677,-14.9499240579018,2024,2218393804.54798,9.346038643689178
IMN,Isle of Man,1,54.2240959079977,-4.53903854050941,2022,7431257410.92713,9.87106230506933
LAO,Lao PDR,1,18.4874181999202,103.774934404086,2024,16502933121.3379,10.217561139680774
MWI,Malawi,1,-13.2044253756452,34.282847529032,2024,11316411329.4619,10.053708724828514
MLT,Malta,1,35.9214721473637,14.4053767628788,2024,24971574502.4475,10.397445926258714
MDA,Moldova,1,47.1871728331027,28.4656191736062,2024,18200340853.6517,10.260079521472653
MOZ,Mozambique,1,-17.1958575415341,35.6027277377491,2024,22745341305.0622,10.356892458017724
NIC,Nicaragua,1,12.8449927189211,-85.0319410654719,2024,19693982967.5926,10.294333557982576
SGS,S. Geo. and S. Sandw. Is.,1,-54.4633925402911,-36.4874248269023,NA,NA,NA
SEN,Senegal,1,14.3648110913115,-14.4694479437439,2024,32808056600.9436,10.515980505531326
TGO,Togo,1,8.52077978485004,0.963859665348356,2024,10651180146.531,10.027397730096924
ARE,United Arab Emirates,1,23.9053203377423,54.2926697922684,2024,552324846834.581,11.742194580794616
VUT,Vanuatu,1,-16.2169690416025,167.675345939338,2024,1117972034.22642,9.048430939925133
ZMB,Zambia,1,-13.4555254959824,27.8085818823144,2024,25303185342.2511,10.40317519664951
ALA,Aland,0,60.2148676911849,19.9535538111446,NA,NA,NA
ASM,American Samoa,0,-14.3044663343105,-170.718018842331,2022,871000000,8.940018155007664
AND,Andorra,0,42.5422864057591,1.56052469127473,2024,4039842405.48117,9.60636442358465
AGO,Angola,0,-12.2706139240382,17.5317833738886,2024,100998916781.079,11.004316715975486
AIA,Anguilla,0,18.2239725989557,-63.0649996801631,NA,NA,NA
ATG,Antigua and Barb.,0,17.2771040484643,-61.7946721591689,2024,2207622874.07407,9.343924885317433
ARM,Armenia,0,40.2873277774884,44.938311792247,2024,25955275380.0321,10.414225641012745
ABW,Aruba,0,12.5208780608318,-69.9826639657359,2024,4265650673.00236,9.629985286884786
BHS,Bahamas,0,24.2800188100739,-76.5901602927938,2024,15832800000,10.199557725792058
BHR,Bahrain,0,26.0419637708084,50.5419933611208,2024,47109734308.5106,10.673110654892593
BLZ,Belize,0,17.1982988494049,-88.7110676149564,2024,3203631800,9.505642595921215
IOT,Br. Indian Ocean Ter.,0,-7.33059326968775,72.4454107176736,NA,NA,NA
VGB,British Virgin Is.,0,18.5258126284725,-64.4716170380985,NA,NA,NA
CPV,Cape Verde,0,15.9533054786086,-23.9565439870292,2024,2725414150.72735,9.435432506505856
CYM,Cayman Is.,0,19.4298043826201,-80.9134942978663,2023,7241244269.45972,9.859813197817418
CAF,Central African Rep.,0,6.57229915888352,20.4618329844355,2024,2751494281.06887,9.439568614474883
COM,Comoros,0,-11.8779085341834,43.6816567481971,2024,1440991455.45188,9.158661405615446
COK,Cook Is.,0,-21.2192740081892,-159.787243023607,NA,NA,NA
CUW,Curaçao,0,12.1955184194906,-68.9711179452218,2024,3561178196.20713,9.55159370568582
CYP,Cyprus,0,34.917087328158,33.0058102965142,2024,37634533331.8902,10.575586535153299
