"canonicalName","rank","confidence","matchType","kingdom","phylum","class","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","id","predicted_label"
"Rhizophora apiculata","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora apiculata","6","7707728","220","1414","6671","3086525","3086526","895","Presence"
"Albifimbria viridis","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Albifimbria","Albifimbria viridis","5","95","320","1290","7733260","9803212","9783094","409","Presence"
"Acacia mangium","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia mangium","6","7707728","220","1370","5386","2978223","2979091","308","Presence"
"Ceratocystis fimbriata","SPECIES",97,"EXACT","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis","Ceratocystis fimbriata","5","95","320","1059","4156","9512045","5252354","308","Presence"
"Ascomycota","PHYLUM",96,"EXACT","Fungi","Ascomycota",NA,NA,NA,NA,NA,"5","95",NA,NA,NA,NA,NA,"308","Presence"
"Zygomycota","PHYLUM",94,"HIGHERRANK","Fungi","Zygomycota",NA,NA,NA,NA,NA,"5","96",NA,NA,NA,NA,NA,"308","Presence"
"Ascomycota","PHYLUM",94,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"5","95",NA,NA,NA,NA,NA,"308","Presence"
"Nigrospora","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora",NA,"5","95","320","1297","8435","8324240",NA,"308","Presence"
"Pestalotiopsis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis",NA,"5","95","320","9705438","9649543","2574855",NA,"308","Presence"
"Lasiodiplodia","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Lasiodiplodia",NA,"5","95","183","1032","4791","2611221",NA,"308","Presence"
"Sordariomycetes","CLASS",96,"EXACT","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"5","95","320",NA,NA,NA,NA,"308","Presence"
"Neopestalotiopsis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis",NA,"5","95","320","9705438","9649543","8206500",NA,"308","Presence"
"Pseudopestalotiopsis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pseudopestalotiopsis",NA,"5","95","320","9705438","9649543","8290245",NA,"308","Presence"
"Eutiarosporella","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Eutiarosporella",NA,"5","95","183","1032","4791","7963905",NA,"308","Presence"
"Curvularia","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,"5","95","183","1047","8315","2569225",NA,"308","Presence"
"Fusarium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"5","95","320","1290","4152","2554026",NA,"308","Presence"
"Ascomycota","PHYLUM",92,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"5","95",NA,NA,NA,NA,NA,"308","Presence"
"Hypoxylon","GENUS",92,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Hypoxylon",NA,"5","95","320","1298","3302958","2560481",NA,"308","Presence"
"Zygomycota","PHYLUM",94,"HIGHERRANK","Fungi","Zygomycota",NA,NA,NA,NA,NA,"5","96",NA,NA,NA,NA,NA,"308","Presence"
"Blakeslea","GENUS",94,"HIGHERRANK","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Choanephoraceae","Blakeslea",NA,"5","12238325","9796761","749","8274","2558399",NA,"308","Presence"
