"canonicalName","rank","confidence","matchType","kingdom","phylum","class","order","family","genus","species","id","predicted_label"
"Asteraceae","FAMILY",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA,NA,"224","Presence"
"Trichoderma atroviride","SPECIES",97,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma atroviride","166","Presence"
"Alpinia zerumbet","SPECIES",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","Alpinia","Alpinia zerumbet","217","Presence"
"Zingiberaceae","FAMILY",92,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae",NA,NA,"217","Presence"
"Phyla","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","Phyla",NA,"217","Presence"
"Cladosporium","GENUS",92,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"217","Presence"
"Kodamaea","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kodamaea",NA,"217","Presence"
"Hannaella","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella",NA,"217","Presence"
"Mycothermus","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Mycothermus",NA,"217","Presence"
"Sarocladium","GENUS",94,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",NA,"217","Presence"
"Neopestalotiopsis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis",NA,"217","Presence"
"Alternaria","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"217","Presence"
"Fusarium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"217","Presence"
"Cladosporium","GENUS",92,"EXACT","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"217","Presence"
"Sarocladium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium",NA,"217","Presence"
"Brachypodium distachyon","SPECIES",97,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Brachypodium","Brachypodium distachyon","290","Presence"
"Microdochium bolleyi","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriaceae","Microdochium","Microdochium bolleyi","290","Presence"
"Fusarium culmorum","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium culmorum","290","Presence"
"Bletilla striata","SPECIES",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Bletilla","Bletilla striata","588","Presence"
"Mycelium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota",NA,NA,NA,"Mycelium",NA,"588","Presence"
"Ferula assa-foetida","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Ferula","Ferula assa-foetida","575","Presence"
"Fusarium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"575","Presence"
"Alternaria","GENUS",94,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"575","Presence"
"Ascomycota","PHYLUM",92,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"575","Presence"
"Alternaria tenuissima","SPECIES",98,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria tenuissima","575","Presence"
"Taxus mairei","SPECIES",97,"EXACT","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus","Taxus mairei","141","Presence"
"Cephalotaxus fortunei","SPECIES",85,"FUZZY","Plantae","Tracheophyta","Pinopsida","Pinales","Cephalotaxaceae","Cephalotaxus","Cephalotaxus fortunei","141","Presence"
"Torreya grandis","SPECIES",98,"EXACT","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Torreya","Torreya grandis","141","Presence"
"Assay","GENUS",94,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"141","Presence"
"Neurospora","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora",NA,"141","Presence"
"Trichoderma eijii","SPECIES",84,"FUZZY","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma eijii","141","Presence"
"Fusarium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"141","Presence"
"Paecilomyces","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Paecilomyces",NA,"141","Presence"
"Poaceae","FAMILY",94,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae",NA,NA,"722","Presence"
"Microbiota","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Microbiota",NA,"722","Presence"
"Chrysopogon zizanioides","SPECIES",99,"EXACT","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Chrysopogon","Chrysopogon zizanioides","722","Presence"
"Gigaspora albida","SPECIES",99,"EXACT","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Gigasporaceae","Gigaspora","Gigaspora albida","722","Presence"
"Acaulospora morrowiae","SPECIES",99,"EXACT","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora morrowiae","722","Presence"
"Microbiota","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Microbiota",NA,"722","Presence"
"Beauveria bassiana","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria","Beauveria bassiana","865","Presence"
"Vitis vinifera","SPECIES",93,"FUZZY","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","Vitis","Vitis vinifera","865","Presence"
"Alternaria","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"294","Presence"
"Pelargonium sidoides","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","Pelargonium","Pelargonium sidoides","294","Presence"
"Taxus","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus",NA,"277","Presence"
"Taxus","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus",NA,"277","Presence"
"Pseudodidymocyrtis lobariellae","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudodidymocyrtis","Pseudodidymocyrtis lobariellae","277","Presence"
"Taxus","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus",NA,"277","Presence"
"Assay","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"999","Presence"
"Cladosporium","GENUS",92,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"999","Presence"
"Metarhizium anisopliae","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium anisopliae","999","Presence"
"Quercus gambelii","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","Quercus gambelii","41","Presence"
"Mikania micrantha","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Mikania","Mikania micrantha","431","Presence"
"Fusarium proliferatum","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium proliferatum","431","Presence"
"Mycelium","GENUS",94,"HIGHERRANK","Fungi","Basidiomycota",NA,NA,NA,"Mycelium",NA,"431","Presence"
"Diaporthe","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA,"90","Review"
"Bipolaris","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris",NA,"316","Presence"
"Assay","GENUS",94,"HIGHERRANK","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Assay",NA,"316","Presence"
"Cladosporium cladosporioides","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides","316","Presence"
"Cladosporium cucumerinum","SPECIES",99,"EXACT","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium cucumerinum","316","Presence"
"Saccharomyces cerevisiae","SPECIES",98,"EXACT","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","316","Presence"
"Aspergillus niger","SPECIES",99,"EXACT","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus niger","316","Presence"
"Melia azedarach","SPECIES",98,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","Melia","Melia azedarach","528","Presence"
"Ascomycota","PHYLUM",92,"HIGHERRANK","Fungi","Ascomycota",NA,NA,NA,NA,NA,"528","Presence"
"Penicillium commune","SPECIES",99,"EXACT","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium commune","606","Presence"
"Neurospora crassa","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora","Neurospora crassa","606","Presence"
"Cinnamomum longepaniculatum","SPECIES",97,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","Cinnamomum","Cinnamomum longepaniculatum","606","Presence"
"Fusarium proliferatum","SPECIES",99,"EXACT","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium proliferatum","774","Presence"
"Ascomycota","PHYLUM",96,"EXACT","Fungi","Ascomycota",NA,NA,NA,NA,NA,"747","Presence"
"Colletotrichum","GENUS",94,"EXACT","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA,"747","Presence"
"Euphorbia pekinensis","SPECIES",98,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia pekinensis","456","Presence"
"Fusarium","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"456","Presence"
"Mycelium","GENUS",94,"EXACT","Fungi","Basidiomycota",NA,NA,NA,"Mycelium",NA,"456","Presence"
"Palicourea rigida","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Palicourea","Palicourea rigida","598","Presence"
"Colletotrichum","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum",NA,"598","Presence"
"Pestalotiopsis","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Pestalotiopsis",NA,"598","Presence"
"Botryosphaeriales","ORDER",94,"EXACT","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales",NA,NA,NA,"598","Presence"
"Diaporthe","GENUS",94,"HIGHERRANK","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA,"598","Presence"
"Lactuca sativa","SPECIES",99,"EXACT","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lactuca","Lactuca sativa","598","Presence"
"Aspergillus niger","SPECIES",99,"EXACT","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus niger","598","Presence"
"Inonotus rickii","SPECIES",99,"EXACT","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Inonotus","Inonotus rickii","598","Presence"
