canonicalName,canonicalName_lower,kingdom,phylum,family,id,predicted_label,match_type,status,resolved_name,acceptedScientificName,fruit,fruits,root,roots,leaf,leaves,stem,stems,flower,flowers,seed,seeds,bark,branch,branches,twig,twigs,shoot,shoots,bud,buds,trunk,trunks,pistil,pistils,anther,anthers,carpel,carpels,sepal,sepals,petal,petals,stigma,stigmas,style,styles,ovary,ovaries,ovule,ovules,calyx,calyces,corolla,corollas,pollen,inflorescence,inflorescences,floret,florets,rhizome,rhizomes,tuber,tubers,bulb,bulbs,corm,corms,tendril,tendrils,thorn,thorns,cone,cones,needle,needles,xylem,phloem,cortex,cortices,epidermis,endodermis,mesophyll,parenchyma,sclerenchyma,collenchyma,stomata,stoma,cuticle,cuticles,trichome,trichomes,petiole,petioles,lamina,laminae,stipule,stipules,leaflet,leaflets,node,nodes,internode,internodes,cotyledon,cotyledons,endosperm,embryo,embryos,testa,hilum,micropyle,aleurone,genus
Alternaria,alternaria,Fungi,Ascomycota,Pleosporaceae,7773,Presence,genus,ACCEPTED,Alternaria,Alternaria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Iris,iris,Plantae,Tracheophyta,Iridaceae,7773,Presence,genus,ACCEPTED,Iris,Iris,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Botrytis,botrytis,Fungi,Ascomycota,Sclerotiniaceae,7773,Presence,genus,ACCEPTED,Botrytis,Botrytis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Fusarium,fusarium,Fungi,Ascomycota,Nectriaceae,8460,Presence,genus,ACCEPTED,Fusarium,Fusarium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Fusarium,fusarium,Fungi,Ascomycota,Dermateaceae,8460,Presence,genus,ACCEPTED,Fusarium,Fusarium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Acanthus,acanthus,Plantae,Tracheophyta,Acanthaceae,8460,Presence,genus,ACCEPTED,Acanthus,Acanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Phoma,phoma,Fungi,Ascomycota,Didymellaceae,9612,Presence,genus,ACCEPTED,Phoma,Phoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Hibiscus,hibiscus,Plantae,Tracheophyta,Malvaceae,9612,Presence,genus,ACCEPTED,Hibiscus,Hibiscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Alternaria,alternaria,Fungi,Ascomycota,Pleosporaceae,9612,Presence,genus,ACCEPTED,Alternaria,Alternaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Aspergillus,aspergillus,Fungi,Ascomycota,Aspergillaceae,9612,Presence,genus,ACCEPTED,Aspergillus,Aspergillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
