id,match_type,user_supplied_name,resolved_name,status,acceptedScientificName,kingdom,phylum,family,genus,predicted_label,canonicalName,canonicalName_lower
7,genus,NA,Achnatherum,ACCEPTED,Achnatherum,Plantae,Tracheophyta,Poaceae,NA,Presence,Achnatherum,achnatherum
7,genus,NA,Epichloe,ACCEPTED,Epichloe,Fungi,Ascomycota,Clavicipitaceae,NA,Presence,Epichloe,epichloe
7,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Nectriaceae,NA,Presence,Fusarium,fusarium
7,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Dermateaceae,NA,Presence,Fusarium,fusarium
7,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
7,genus,NA,Bipolaris,ACCEPTED,Bipolaris,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Bipolaris,bipolaris
8,species,didymella phleina,Didymella phleina,ACCEPTED,Didymella phleina,Fungi,Ascomycota,Didymellaceae,Didymella,Presence,NA,NA
8,species,stemphylium botryosum,Stemphylium botryosum,ACCEPTED,Stemphylium botryosum,Fungi,Ascomycota,Pleosporaceae,Stemphylium,Presence,NA,NA
8,genus,NA,Didymella,ACCEPTED,Didymella,Fungi,Ascomycota,Didymellaceae,NA,Presence,Didymella,didymella
8,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Xylariaceae,NA,Presence,Cladosporium,cladosporium
8,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Cladosporiaceae,NA,Presence,Cladosporium,cladosporium
8,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
8,genus,NA,Stemphylium,ACCEPTED,Stemphylium,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Stemphylium,stemphylium
9,genus,NA,Anserina,ACCEPTED,Anserina,Fungi,Ascomycota,Ascobolaceae,NA,Presence,Anserina,anserina
9,genus,NA,Potentilla,ACCEPTED,Potentilla,Plantae,Tracheophyta,Rosaceae,NA,Presence,Potentilla,potentilla
9,family,NA,Rosaceae,ACCEPTED,Rosaceae,Plantae,Tracheophyta,NA,NA,Presence,Rosaceae,rosaceae
10,genus,NA,Heteroconium,ACCEPTED,Heteroconium,Fungi,Ascomycota,Antennulariellaceae,NA,Presence,Heteroconium,heteroconium
11,species,narcissus pseudonarcissus,Narcissus pseudonarcissus,ACCEPTED,Narcissus pseudonarcissus,Plantae,Tracheophyta,Amaryllidaceae,Narcissus,Presence,NA,NA
11,species,catharanthus roseus,Catharanthus roseus,ACCEPTED,Catharanthus roseus,Plantae,Tracheophyta,Apocynaceae,Catharanthus,Presence,NA,NA
11,species,fusarium oxysporum,Fusarium oxysporum,ACCEPTED,Fusarium oxysporum,Fungi,Ascomycota,Nectriaceae,Fusarium,Presence,NA,NA
11,genus,NA,Catharanthus,ACCEPTED,Catharanthus,Plantae,Tracheophyta,Apocynaceae,NA,Presence,Catharanthus,catharanthus
11,genus,NA,Jacobaea,ACCEPTED,Jacobaea,Plantae,Tracheophyta,Asteraceae,NA,Presence,Jacobaea,jacobaea
11,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Nectriaceae,NA,Presence,Fusarium,fusarium
11,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Dermateaceae,NA,Presence,Fusarium,fusarium
11,genus,NA,Narcissus,ACCEPTED,Narcissus,Plantae,Tracheophyta,Amaryllidaceae,NA,Presence,Narcissus,narcissus
12,genus,NA,Phoma,ACCEPTED,Phoma,Fungi,Ascomycota,Didymellaceae,NA,Presence,Phoma,phoma
12,genus,NA,Helminthosporium,ACCEPTED,Helminthosporium,Fungi,Ascomycota,Massarinaceae,NA,Presence,Helminthosporium,helminthosporium
12,genus,NA,Sorghum,ACCEPTED,Sorghum,Plantae,Tracheophyta,Poaceae,NA,Presence,Sorghum,sorghum
12,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Nectriaceae,NA,Presence,Fusarium,fusarium
12,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Dermateaceae,NA,Presence,Fusarium,fusarium
12,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Xylariaceae,NA,Presence,Cladosporium,cladosporium
12,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Cladosporiaceae,NA,Presence,Cladosporium,cladosporium
12,genus,NA,Phycomyces,ACCEPTED,Phycomyces,Fungi,Mucoromycota,Phycomycetaceae,NA,Presence,Phycomyces,phycomyces
12,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
12,genus,NA,Curvularia,ACCEPTED,Curvularia,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Curvularia,curvularia
12,genus,NA,Trichoderma,ACCEPTED,Trichoderma,Fungi,Ascomycota,Hypocreaceae,NA,Presence,Trichoderma,trichoderma
12,genus,NA,Penicillium,ACCEPTED,Penicillium,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Penicillium,penicillium
12,genus,NA,Pullularia,ACCEPTED,Pullularia,Fungi,Ascomycota,Saccotheciaceae,NA,Presence,Pullularia,pullularia
12,genus,NA,Aspergillus,ACCEPTED,Aspergillus,Fungi,Ascomycota,Aspergillaceae,NA,Presence,Aspergillus,aspergillus
12,genus,NA,Aspergillus,ACCEPTED,Aspergillus,Fungi,Ascomycota,Trichocomaceae,NA,Presence,Aspergillus,aspergillus
12,genus,NA,Phomopsis,ACCEPTED,Phomopsis,Fungi,Ascomycota,Diaporthaceae,NA,Presence,Phomopsis,phomopsis
12,genus,NA,Monilia,ACCEPTED,Monilia,Fungi,Ascomycota,Sclerotiniaceae,NA,Presence,Monilia,monilia
12,genus,NA,Chaetomium,ACCEPTED,Chaetomium,Fungi,Ascomycota,Chaetomiaceae,NA,Presence,Chaetomium,chaetomium
12,genus,NA,Heterosporium,ACCEPTED,Heterosporium,Fungi,Ascomycota,Cladosporiaceae,NA,Presence,Heterosporium,heterosporium
12,genus,NA,Cephalosporium,ACCEPTED,Cephalosporium,Fungi,Ascomycota,NA,NA,Presence,Cephalosporium,cephalosporium
12,genus,NA,Hormodendron,ACCEPTED,Hormodendron,Fungi,Ascomycota,NA,NA,Presence,Hormodendron,hormodendron
13,species,avena fatua,Avena fatua,ACCEPTED,Avena fatua,Plantae,Tracheophyta,Poaceae,Avena,Presence,NA,NA
13,genus,NA,Echinochloa,ACCEPTED,Echinochloa,Plantae,Tracheophyta,Poaceae,NA,Presence,Echinochloa,echinochloa
13,genus,NA,Avena,ACCEPTED,Avena,Plantae,Tracheophyta,Poaceae,NA,Presence,Avena,avena
13,genus,NA,Sarocladium,ACCEPTED,Sarocladium,Fungi,Ascomycota,Sarocladiaceae,NA,Presence,Sarocladium,sarocladium
13,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Nectriaceae,NA,Presence,Fusarium,fusarium
13,genus,NA,Fusarium,ACCEPTED,Fusarium,Fungi,Ascomycota,Dermateaceae,NA,Presence,Fusarium,fusarium
13,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Xylariaceae,NA,Presence,Cladosporium,cladosporium
13,genus,NA,Cladosporium,ACCEPTED,Cladosporium,Fungi,Ascomycota,Cladosporiaceae,NA,Presence,Cladosporium,cladosporium
13,genus,NA,Alternaria,ACCEPTED,Alternaria,Fungi,Ascomycota,Pleosporaceae,NA,Presence,Alternaria,alternaria
13,family,NA,Poaceae,ACCEPTED,Poaceae,Plantae,Tracheophyta,NA,NA,Presence,Poaceae,poaceae
15,genus,NA,Argentina,ACCEPTED,Argentina,Plantae,Tracheophyta,Rosaceae,NA,Presence,Argentina,argentina
15,genus,NA,Lycopodium,ACCEPTED,Lycopodium,Plantae,Tracheophyta,Lycopodiaceae,NA,Presence,Lycopodium,lycopodium
16,genus,NA,Oidiodendron,ACCEPTED,Oidiodendron,Fungi,Ascomycota,Myxotrichaceae,NA,Presence,Oidiodendron,oidiodendron
16,genus,NA,Calluna,ACCEPTED,Calluna,Plantae,Tracheophyta,Ericaceae,NA,Presence,Calluna,calluna
16,genus,NA,Hymenoscyphus,ACCEPTED,Hymenoscyphus,Fungi,Ascomycota,Helotiaceae,NA,Presence,Hymenoscyphus,hymenoscyphus
17,genus,NA,Panax,ACCEPTED,Panax,Plantae,Tracheophyta,Araliaceae,NA,Presence,Panax,panax
